unicode	name	count
1f3a9	"top hat"	3767263
1f3be	"tennis racquet and ball"	3757334
1f333	"deciduous tree"	3749667
1f4c8	"chart with upwards trend"	3747681
1f4e9	"envelope with downwards arrow above"	3739965
2755	"white exclamation mark ornament"	3738727
1f45f	"athletic shoe"	3686056
1f47a	"japanese goblin"	3671586
1f315	"full moon symbol"	3646310
1f46c	"two men holding hands"	3631779
1f6c5	"left luggage"	3630025
1f367	"shaved ice"	3598971
1f43d	"pig nose"	3581032
1f475	"older woman"	3578476
1f64e	"person with pouting face"	3572796
1f420	"tropical fish"	3572265
1f199	"squared up with exclamation mark"	3566403
1f6a9	"triangular flag on post"	3545321
1f311	"new moon symbol"	3545000
1f415	"dog"	3531442
1f442	"ear"	3513145
1f470	"bride with veil"	3503147
1f35d	"spaghetti"	3479328
1f19a	"squared vs"	3462150
1f4f0	"newspaper"	3461577
1f518	"radio button"	3443504
1f31c	"last quarter moon with face"	3414150
1f434	"horse face"	3371207
26fd	"fuel pump"	3370984
26f3	"flag in hole"	3333620
1f387	"firework sparkler"	3331613
2650	"sagittarius"	3326478
1f373	"cooking"	3321888
1f35c	"steaming bowl"	3308974
1f504	"anticlockwise downwards and upwards open circle arrows"	3268683
2734	"eight pointed black star"	3265108
1f34f	"green apple"	3239445
1f4c6	"tear-off calendar"	3229976
1f50e	"right-pointing magnifying glass"	3229766
1f428	"koala"	3218176
1f443	"nose"	3217310
1f414	"chicken"	3202113
1f464	"bust in silhouette"	3195405
1f455	"t-shirt"	3161917
2747	"sparkle"	3155694
1f456	"jeans"	3122657
1f408	"cat"	3109856
1f375	"teacup without handle"	3103258
1f310	"globe with meridians"	3100037
1f365	"fish cake with swirl design"	3096728
1f36f	"honey pot"	3085355
2199	"south west arrow"	3024762
1f50d	"left-pointing magnifying glass"	3004764
1f33d	"ear of maize"	2991286
1f439	"hamster face"	2941705
1f42d	"mouse face"	2934145
1f35e	"bread"	2925788
23f3	"hourglass with flowing sand"	2919198
1f42e	"cow face"	2903855
24c2	"circled latin capital letter m"	2899250
1f41b	"bug"	2892697
3299	"circled ideograph secret"	2882857
1f1ef-1f1f5	"regional indicator symbol letters jp"	2863100
1f6bf	"shower"	2861864
0030-20e3	"keycap 0"	2859834
1f409	"dragon"	2846603
1f390	"wind chime"	2839053
1f699	"recreational vehicle"	2825756
3030	"wavy dash"	2810652
1f474	"older man"	2807117
1f40e	"horse"	2796929
1f512	"lock"	2795041
2796	"heavy minus sign"	2782698
1f4e1	"satellite antenna"	2764025
2795	"heavy plus sign"	2749756
1f4e6	"package"	2747942
1f363	"sushi"	2741262
1f4a0	"diamond shape with a dot inside"	2733966
1f46e	"police officer"	2724166
1f411	"sheep"	2687216
1f473	"man with turban"	2680653
1f6b2	"bicycle"	2676593
1f345	"tomato"	2661613
2934	"arrow pointing rightwards then curving upwards"	2643740
1f50b	"battery"	2641249
1f424	"baby chick"	2634376
1f4c5	"calendar"	2622210
1f4b2	"heavy dollar sign"	2617626
1f40b	"whale"	2617081
1f465	"busts in silhouette"	2611419
1f50c	"electric plug"	2598193
2196	"north west arrow"	2587275
27b0	"curly loop"	2581237
1f531	"trident emblem"	2572683
1f407	"rabbit"	2560054
1f506	"high brightness symbol"	2536487
1f3c4	"surfer"	2516609
1f41e	"lady beetle"	2505838
1f53d	"down-pointing small red triangle"	2487943
1f304	"sunrise over mountains"	2487464
2652	"aquarius"	2445243
2648	"aries"	2430107
1f413	"rooster"	2429953
2712	"black nib"	2414586
1f3a3	"fishing pole and fish"	2414519
1f170	"negative squared latin capital letter a"	2391978
231b	"hourglass"	2390197
1f51b	"on with exclamation mark with left right arrow above"	2364110
1f3b9	"musical keyboard"	2356530
1f371	"bento box"	2327530
264f	"scorpius"	2323235
1f368	"ice cream"	2319795
2649	"taurus"	2314931
1f312	"waxing crescent moon symbol"	2305612
1f40a	"crocodile"	2305367
1f171	"negative squared latin capital letter b"	2300115
1f6bc	"baby symbol"	2292221
1f6ba	"womens symbol"	2286714
1f35a	"cooked rice"	2282378
1f3bb	"violin"	2261451
303d	"part alternation mark"	2248521
1f471	"person with blond hair"	2208969
3297	"circled ideograph congratulation"	2204933
1f513	"open lock"	2199914
1f4ae	"white flower"	2193771
1f364	"fried shrimp"	2166168
1f313	"first quarter moon symbol"	2150955
1f492	"wedding"	2146926
1f3b2	"game die"	2144345
1f318	"waning crescent moon symbol"	2133887
1f68c	"bus"	2130918
1f1f7-1f1fa	"regional indicator symbol letters ru"	2130730
1f30b	"volcano"	2112876
26f5	"sailboat"	2107306
1f530	"japanese symbol for beginner"	2096063
1f45a	"womans clothes"	2094484
0036-20e3	"keycap 6"	2093663
1f528	"hammer"	2084567
1f555	"clock face six oclock"	2079998
1f41a	"spiral shell"	2075214
1f682	"steam locomotive"	2065858
1f194	"squared id"	2062858
1f356	"meat on bone"	2053945
1f5fd	"statue of liberty"	2051241
1f3b1	"billiards"	2028935
1f314	"waxing gibbous moon symbol"	1995903
264c	"leo"	1984208
1f40c	"snail"	1967863
2653	"pisces"	1961847
1f350	"pear"	1948803
1f317	"last quarter moon symbol"	1940801
1f429	"poodle"	1935375
264a	"gemini"	1930449
1f4db	"name badge"	1929858
1f41c	"ant"	1915430
0037-20e3	"keycap 7"	1896385
274e	"negative squared cross mark"	1862296
1f454	"necktie"	1830209
1f239	"squared cjk unified ideograph-5272"	1819792
1f372	"pot of food"	1809512
1f307	"sunset over buildings"	1809271
1f400	"rat"	1805448
1f6b4	"bicyclist"	1803260
1f316	"waning gibbous moon symbol"	1795063
1f6c0	"bath"	1785913
1f508	"speaker"	1773868
1f416	"pig"	1773383
1f509	"speaker with one sound wave"	1772158
2651	"capricorn"	1756896
1f4c0	"dvd"	1755561
26ea	"church"	1754924
1f3ea	"convenience store"	1752081
1f330	"chestnut"	1735065
25ab	"white small square"	1734980
1f432	"dragon face"	1732340
1f4b3	"credit card"	1706316
1f35b	"curry and rice"	1693525
1f36e	"custard"	1687272
1f3e2	"office building"	1673278
1f38b	"tanabata tree"	1660750
2139	"information source"	1646624
1f4c9	"chart with downwards trend"	1640479
1f69a	"delivery truck"	1636174
1f3e9	"love hotel"	1627297
1f472	"man with gua pi mao"	1620464
1f3b7	"saxophone"	1610037
1f3e5	"hospital"	1600779
1f3eb	"school"	1594966
1f3c9	"rugby football"	1588189
1f4ca	"bar chart"	1585178
1f3c2	"snowboarder"	1570228
1f4cb	"clipboard"	1569421
1f3ba	"trumpet"	1563077
1f17e	"negative squared latin capital letter o"	1559345
1f694	"oncoming police car"	1553610
1f6aa	"door"	1532279
1f404	"cow"	1518762
1f462	"womans boots"	1518143
264d	"virgo"	1517346
1f691	"ambulance"	1506349
264e	"libra"	1474051
1f45e	"mans shoe"	1459148
1f17f	"negative squared latin capital letter p"	1451923
1f3c7	"horse racing"	1451120
1f693	"police car"	1433125
1f515	"bell with cancellation stroke"	1432864
1f5fb	"mount fuji"	1429662
2754	"white question mark ornament"	1420776
1f1f0-1f1f7	"regional indicator symbol letters kr"	1408395
1f4bc	"briefcase"	1406620
1f361	"dango"	1399617
1f6bd	"toilet"	1395836
1f488	"barber pole"	1382432
1f302	"closed umbrella"	1379317
1f3b3	"bowling"	1369513
1f452	"womans hat"	1360694
1f45c	"handbag"	1359838
1f3aa	"circus tent"	1354067
1f3a1	"ferris wheel"	1348779
1f38c	"crossed flags"	1348229
1f392	"school satchel"	1328893
1f6a2	"ship"	1328081
1f42b	"bactrian camel"	1321860
1f692	"fire engine"	1318371
1f421	"blowfish"	1318223
1f3b0	"slot machine"	1313843
1f405	"tiger"	1304284
1f552	"clock face three oclock"	1302941
1f38e	"japanese dolls"	1299299
1f4b7	"banknote with pound sign"	1297127
1f40f	"ram"	1293420
1f3f0	"european castle"	1290758
1f4ee	"postbox"	1287889
0038-20e3	"keycap 8"	1278643
1f348	"melon"	1265552
1f0cf	"playing card black joker"	1264149
0039-20e3	"keycap 9"	1261727
1f53c	"up-pointing small red triangle"	1257250
1f42a	"dromedary camel"	1247644
1f3ab	"ticket"	1236695
1f477	"construction worker"	1226144
1f55b	"clock face twelve oclock"	1225945
1f695	"taxi"	1219565
1f359	"rice ball"	1214664
1f402	"ox"	1205527
1f505	"low brightness symbol"	1184111
1f51a	"end with leftwards arrow above"	1173995
1f6a3	"rowboat"	1154538
1f3a2	"roller coaster"	1148297
1f4b6	"banknote with euro sign"	1144808
1f1e8-1f1f3	"regional indicator symbol letters cn"	1131338
1f5fc	"tokyo tower"	1129258
25fe	"black medium small square"	1127378
1f4b1	"currency exchange"	1126217
1f6a7	"construction sign"	1124378
1f681	"helicopter"	1093926
1f4e8	"incoming envelope"	1088695
1f4f4	"mobile phone off"	1083630
1f45b	"purse"	1080292
26fa	"tent"	1073054
1f4ce	"paperclip"	1060486
1f458	"kimono"	1049789
1f3a0	"carousel horse"	1040506
1f417	"boar"	1034199
1f550	"clock face one oclock"	1027183
1f51f	"keycap ten"	1006964
27bf	"double curly loop"	1001294
23eb	"black up-pointing double triangle"	999804
1f532	"black square button"	993903
1f526	"electric torch"	990594
1f309	"bridge at night"	985272
1f6b9	"mens symbol"	970346
2b1c	"white large square"	952623
1f4b4	"banknote with yen sign"	935769
1f360	"roasted sweet potato"	934696
1f38d	"pine decoration"	932959
267f	"wheelchair symbol"	931786
1f4ec	"open mailbox with raised flag"	928224
1f4bd	"minidisc"	925698
1f68d	"oncoming bus"	919575
1f551	"clock face two oclock"	902275
1f461	"womans sandal"	886148
1f533	"white square button"	881384
1f4e7	"e-mail symbol"	875023
25fc	"black medium square"	867148
1f4ba	"seat"	861430
1f52f	"six pointed star with middle dot"	857107
1f553	"clock face four oclock"	855071
1f4f6	"antenna with bars"	854524
0023-20e3	"hash key"	851634
1f301	"foggy"	849866
1f4be	"floppy disk"	843308
1f4d3	"notebook"	835069
1f406	"leopard"	827109
1f4d2	"ledger"	819032
1f52d	"telescope"	796639
1f4fc	"videocassette"	793034
2b1b	"black large square"	790860
1f38f	"carp streamer"	789122
1f566	"clock face eleven-thirty"	788386
1f69b	"articulated lorry"	788185
1f558	"clock face nine oclock"	777683
1f507	"speaker with cancellation stroke"	777652
1f362	"oden"	772584
1f502	"clockwise rightwards and leftwards open circle arrows with circled one overlay"	766701
1f358	"rice cracker"	764075
1f3ec	"department store"	760610
1f516	"bookmark"	755061
1f527	"wrench"	752432
1f3e7	"automated teller machine"	751100
1f4c3	"page with curl"	749509
1f3e4	"european post office"	745206
1f4c4	"page facing up"	738015
1f3e6	"bank"	736340
1f684	"high-speed train"	735411
1f376	"sake bottle and cup"	734047
1f403	"water buffalo"	718758
1f554	"clock face five oclock"	711528
1f3bf	"ski and ski boot"	709747
1f557	"clock face eight oclock"	708276
1f683	"railway car"	702183
1f52c	"microscope"	700697
26ce	"ophiuchus"	691891
1f6c1	"bathtub"	686405
1f559	"clock face ten oclock"	680162
1f556	"clock face seven oclock"	676102
1f391	"moon viewing ceremony"	673606
1f4dc	"scroll"	668756
1f4d7	"green book"	667080
1f4d8	"blue book"	657750
1f3a6	"cinema"	657047
1f3bd	"running shirt with sash"	653825
1f401	"mouse"	643580
1f6a5	"horizontal traffic light"	642843
1f4b9	"chart with upwards trend and yen sign"	639403
1f69c	"tractor"	637695
25fb	"white medium square"	631095
1f6a4	"speedboat"	615130
1f250	"circled ideograph advantage"	599793
1f690	"minibus"	598377
1f55a	"clock face eleven oclock"	577847
1f4f5	"no mobile phones"	558156
1f685	"high-speed train with bullet nose"	557906
1f3ee	"izakaya lantern"	555612
1f687	"metro"	555143
26f2	"fountain"	547332
1f4f3	"vibration mode"	537003
1f6ad	"no smoking symbol"	525857
25fd	"white medium small square"	521441
1f500	"twisted rightwards arrows"	493824
1f529	"nut and bolt"	480084
1f688	"light rail"	478660
1f6be	"water closet"	476414
1f689	"station"	474737
1f68a	"tram"	468659
1f4e0	"fax machine"	456720
1f4d9	"orange book"	455158
1f68e	"trolleybus"	454876
1f18e	"negative squared ab"	454199
1f196	"squared ng"	453168
1f4cf	"straight ruler"	450989
1f6b5	"mountain bicyclist"	437687
1f4d1	"bookmark tabs"	436439
1f3ef	"japanese castle"	430320
1f686	"train"	423336
1f3ed	"factory"	417925
1f3e3	"japanese post office"	416406
1f6b7	"no pedestrians"	415173
1f4c2	"open file folder"	409348
1f3b4	"flower playing cards"	404412
1f68b	"tram car"	404114
1f4d0	"triangular ruler"	396089
1f4ef	"postal horn"	391427
1f22f	"squared cjk unified ideograph-6307"	389908
1f4d4	"notebook with decorative cover"	380619
1f6bb	"restroom"	371335
1f4eb	"closed mailbox with raised flag"	362163
1f4e4	"outbox tray"	354360
1f50f	"lock with ink pen"	348399
1f45d	"pouch"	348207
1f68f	"bus stop"	348030
1f6b8	"children crossing"	344559
1f564	"clock face nine-thirty"	341414
1f522	"input symbol for numbers"	336989
1f55c	"clock face one-thirty"	333938
1f4c1	"file folder"	328055
1f6b3	"no bicycles"	327948
1f4df	"pager"	326795
1f004	"mahjong tile red dragon"	323192
1f5fe	"silhouette of japan"	316642
1f233	"squared cjk unified ideograph-7a7a"	314684
1f191	"squared cl"	314514
2797	"heavy division sign"	312388
1f55d	"clock face two-thirty"	307404
1f4ea	"closed mailbox with lowered flag"	293992
1f565	"clock face ten-thirty"	287808
1f23a	"squared cjk unified ideograph-55b6"	287344
1f55e	"clock face three-thirty"	286968
1f562	"clock face seven-thirty"	286684
1f55f	"clock face four-thirty"	283564
1f563	"clock face eight-thirty"	278781
1f236	"squared cjk unified ideograph-6709"	275054
1f201	"squared katakana koko"	271693
1f69f	"suspension railway"	270824
1f560	"clock face five-thirty"	265329
1f202	"squared katakana sa"	263564
1f232	"squared cjk unified ideograph-7981"	263009
1f235	"squared cjk unified ideograph-6e80"	261171
1f21a	"squared cjk unified ideograph-7121"	258670
1f4ed	"open mailbox with lowered flag"	254823
1f561	"clock face six-thirty"	250910
1f6a1	"aerial tramway"	250342
1f237	"squared cjk unified ideograph-6708"	249021
1f251	"circled ideograph accept"	245907
1f6b0	"potable water symbol"	239737
1f234	"squared cjk unified ideograph-5408"	233929
1f238	"squared cjk unified ideograph-7533"	232274
1f567	"clock face twelve-thirty"	225454
1f69d	"monorail"	221830
1f6c4	"baggage claim"	213341
1f6a0	"mountain cableway"	205930
1f4c7	"card index"	200097
1f69e	"mountain railway"	199301
1f6c2	"passport control"	195147
1f6af	"do not litter symbol"	191467
1f523	"input symbol for symbols"	187492
1f6b1	"non-potable water symbol"	182733
1f521	"input symbol for latin small letters"	180175
1f520	"input symbol for latin capital letters"	177813
1f524	"input symbol for latin letters"	174478
